S no.,Name,Link,Year,Directors,Actors,IMDB rating
72,Once Upon a Time in... Hollywood,https://www.imdb.com/title/tt7131622/,2019,Quentin Tarantino ,"Leonardo DiCaprio, Brad Pitt",7.6
73,Creed II,https://www.imdb.com/title/tt6343314/,2018,Steven Caple Jr. ,"Michael B. Jordan, Sylvester Stallone",7.1
74,Close,https://www.imdb.com/title/tt9660502/,2022,Lukas Dhont ,"Eden Dambrine, Gustav De Waele",7.8
75,Don't Worry Darling,https://www.imdb.com/title/tt10731256/,2022,Olivia Wilde ,"Florence Pugh, Harry Styles",6.2
76,Top Gun,https://www.imdb.com/title/tt0092099/,1986,Tony Scott ,"Tom Cruise, Tim Robbins",6.9
77,Marlowe,https://www.imdb.com/title/tt6722802/,2022,Neil Jordan ,"Liam Neeson, Diane Kruger",5.4
78,Scream 2,https://www.imdb.com/title/tt0120082/,1997,Wes Craven ,"Neve Campbell, Courteney Cox",6.3
79,Winnie-the-Pooh: Blood and Honey,https://www.imdb.com/title/tt19623240/,2023,Rhys Frake-Waterfield ,"Nikolai Leon, Maria Taylor",3.4
80,Titanic,https://www.imdb.com/title/tt0120338/,1997,James Cameron ,"Leonardo DiCaprio, Kate Winslet",7.9
81,Interstellar,https://www.imdb.com/title/tt0816692/,2014,Christopher Nolan ,"Matthew McConaughey, Anne Hathaway",8.6
82,History of the World: Part I,https://www.imdb.com/title/tt0082517/,1981,Mel Brooks ,"Mel Brooks, Gregory Hines",6.8
83,This Is Where I Leave You,https://www.imdb.com/title/tt1371150/,2014,Shawn Levy ,"Jason Bateman, Tina Fey",6.6
84,The Mummy,https://www.imdb.com/title/tt0120616/,1999,Stephen Sommers ,"Brendan Fraser, Rachel Weisz",7.1
85,Air,https://www.imdb.com/title/tt16419074/,2023,Ben Affleck ,"Matt Damon, Jason Bateman",8.5
86,Pearl,https://www.imdb.com/title/tt18925334/,2022,Ti West ,"Mia Goth, David Corenswet",7.0
87,Smile,https://www.imdb.com/title/tt15474916/,2022,Parker Finn ,"Sosie Bacon, Jessie T. Usher",6.6
